asset,beta_bri,year,br,compounded_xret,rank_beta,rank_br,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,soe
158,-0.049328835,2016,2.27E-05,-0.437159726,-0.702746365,0.211631664,1.038078648,1.284942615,0.249925006,0.07191838,1
158,-0.034614117,2017,1.12E-05,-0.223190951,-0.961139896,-0.582901554,1.084605732,1.276143102,-0.102662551,-0.134051384,1
158,0.043911675,2018,1.09E-05,0.89826548,0.794117647,-0.517156863,1.191893927,1.158656262,-0.659067971,0.666505934,1
158,-0.022846063,2019,1.90E-05,0.083579196,-0.413461538,0.112980769,1.196460151,0.562977995,-1.759998839,-0.342939137,1
159,0.003389126,2017,1.22E-05,1.046892888,0.339378238,-0.422279793,1.18308715,1.426793425,0.050283261,0.62455394,0
159,0.01637884,2018,1.15E-05,-0.383109778,0.389705882,-0.416666667,1.140929485,2.486061126,1.056116478,-0.218246498,0
159,0.059663221,2019,1.07E-05,0.242992541,0.802884615,-0.408653846,1.273320879,1.207421228,-0.848552326,1.23068309,0
301,-0.073660642,2018,1.06E-05,0.018157155,-0.950980392,-0.588235294,0.797938822,0.59356608,0.106231413,-0.147215201,0
301,0.040315672,2019,2.27E-05,2.730486664,0.649038462,0.338942308,0.809511698,0.333898352,0.284626676,-0.038475551,0
333,0.037148742,2018,9.26E-06,0.166788676,0.732843137,-0.789215686,1.564858939,-0.213573534,1.199933491,0.067917666,0
338,0.001038612,2016,9.65E-06,0.35691073,-0.050080775,-0.828756058,1.227888207,0.250646537,0.347866547,0.010856204,1
338,-0.006221198,2017,1.87E-05,0.457625761,-0.67357513,-0.069948187,1.488216484,-0.110251473,0.39533513,0.009902441,1
338,-0.009702333,2018,2.23E-05,0.139016629,-0.316176471,0.161764706,1.24617242,0.412450052,1.228894248,-0.252355596,1
338,0.009920071,2019,1.49E-05,0.305767557,0.211538462,-0.081730769,1.486973092,-0.118118885,0.738557576,-0.094171511,1
400,0.03669429,2016,2.63E-05,-0.568676677,0.49273021,0.360258481,1.144283554,0.554193742,-0.274537809,-0.083895491,1
400,0.001087379,2017,4.18E-05,0.148901977,0.049222798,0.619170984,0.977874731,1.066894164,0.17687652,-0.167195016,1
400,-0.005555383,2018,1.40E-05,0.442173909,-0.208333333,-0.154411765,0.966569409,0.886754089,0.259073044,-0.377934457,1
400,-0.06829824,2019,1.20E-05,-0.048095781,-0.870192308,-0.233173077,1.191473642,1.12581476,0.331522427,0.105837409,1
401,-0.000498062,2017,2.70E-05,1.00537635,-0.163212435,0.272020725,1.52359522,0.285517532,-0.508741519,0.504126832,1
401,-0.063495955,2018,1.50E-05,-0.077951312,-0.928921569,-0.105392157,1.160997384,0.45226218,0.96049627,-0.212404425,1
401,-0.057961521,2019,7.13E-06,-0.213769501,-0.834134615,-0.954326923,1.266182275,0.558056774,0.95136596,0.233890304,1
403,0.029181008,2019,1.19E-05,-0.257120631,0.512019231,-0.240384615,0.827453466,-0.306582967,0.029573899,-0.364084409,0
404,0.00993412,2016,2.64E-05,-0.455425347,0.095315024,0.373182553,1.2599306,0.957547285,-0.264853092,0.116773357,1
413,0.000928753,2018,7.51E-06,-0.481808607,-0.019607843,-0.948529412,1.082176995,1.136766117,0.139582508,-0.424630097,0
413,0.031216181,2019,6.67E-06,-0.23316809,0.540865385,-0.96875,1.117293341,1.360957317,-0.878726201,0.334716031,0
423,-0.010137993,2017,1.20E-05,-0.257692399,-0.803108808,-0.461139896,0.764150656,-0.371202746,-0.158035151,-0.139138151,1
423,0.007852671,2018,8.85E-06,-0.085383871,0.174019608,-0.840686275,0.936147956,-0.391026785,-0.328210818,0.398298385,1
425,0.020734499,2016,4.28E-05,0.125090687,0.273021002,0.683360258,1.189105351,0.657012979,0.611814129,-0.065581367,1
425,0.00983218,2017,3.10E-05,0.050107334,0.740932642,0.378238342,1.214113479,0.430366444,0.613952894,-0.103895009,1
425,0.004729652,2018,5.69E-05,0.305635281,0.071078431,0.81372549,1.242783652,0.440683733,0.45439902,0.135857048,1
425,-0.002439183,2019,2.48E-05,0.071627698,-0.004807692,0.415865385,1.337247257,0.524598144,0.895595868,-0.066820759,1
426,0.018948439,2016,1.66E-05,-0.211307585,0.260096931,-0.056542811,1.118480371,0.051661352,-0.896533212,0.132142845,0
428,0.007145351,2019,1.95E-05,-0.169288328,0.165865385,0.163461538,1.191564806,1.323578924,0.273881625,0.485344903,1
488,-0.005605918,2017,9.84E-06,-0.356002561,-0.64507772,-0.777202073,1.5259819,1.318210583,1.329557739,-0.284384872,1
488,-0.062052673,2018,8.98E-06,-0.047311389,-0.921568627,-0.830882353,1.216291565,0.817222331,0.694479551,0.039766507,1
488,-0.011187325,2019,8.13E-06,0.668631987,-0.197115385,-0.860576923,0.935087069,0.502493746,0.362422159,0.457529036,1
498,0.003749949,2016,3.49E-05,-0.413479064,-0.01453958,0.554119548,1.515932545,0.418520699,0.034040896,-0.197991821,1
498,0.009412138,2017,0.000114165,0.264962364,0.730569948,0.953367876,0.950365726,1.31435488,0.666263054,-0.198296267,1
