asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br
90,0.020841717,1.175817997,0.936442569,0.350707678,0.303842338,2018,4.12E-05,0.467283144,0.059439259,0.473039216,0.637254902
90,0.026089545,1.170872465,0.937913331,0.492163739,0.056706981,2019,2.03E-05,-0.161159567,0.467283144,0.463942308,0.223557692
99,0.015919511,0.985833067,1.337062256,-0.323022405,0.203799494,2018,1.34E-05,-0.037222313,0.106739863,0.37254902,-0.193627451
99,-0.000200354,1.091166636,0.591246016,-0.47862519,0.581333742,2019,1.24E-05,-0.025499337,-0.037222313,0.048076923,-0.213942308
100,0.029985757,1.228951174,-0.322940469,-0.625328803,0.215994064,2018,7.17E-06,0.874545986,0.160913544,0.637254902,-0.965686275
151,-0.002421692,1.112184625,-0.142272038,-1.449939719,-0.141285607,2016,4.82E-05,-0.363174933,0.09215488,-0.105008078,0.728594507
151,0.035621271,0.999389846,1.047561381,-0.702449716,-0.179713192,2017,9.28E-05,-0.00778693,-0.363174933,0.984455959,0.924870466
151,-0.006665953,1.151425651,1.342615769,-0.192932233,0.318085455,2018,0.000119437,-0.275758433,-0.00778693,-0.245098039,0.982843137
151,-0.005548357,1.206562553,0.757776904,-0.535342593,0.740658945,2019,6.23E-05,-0.155431407,-0.275758433,-0.069711538,0.894230769
153,-0.069614404,0.888324299,1.226747744,0.118218346,0.136693212,2018,1.32E-05,0.236939445,-0.033576339,-0.93872549,-0.210784314
156,-0.003546019,1.017597633,0.421274848,-0.255733383,0.05773095,2017,1.23E-05,0.15256975,-0.353444074,-0.461139896,-0.406735751
157,0.033094591,1.201505037,0.020928867,0.015657877,0.520909377,2016,6.66E-05,-0.069239394,0.108810457,0.453957997,0.857835218
157,0.004012932,0.962650178,0.528927258,0.510555722,-0.127654796,2017,9.28E-05,0.514150317,-0.069239394,0.411917098,0.924870466
157,0.001492929,0.721933385,0.496108575,0.378005431,0.012802344,2018,7.58E-05,0.101317382,0.514150317,-0.009803922,0.916666667
157,-0.011493436,0.970018899,0.748684258,0.84305948,-0.009636804,2019,5.74E-05,0.454091323,0.101317382,-0.204326923,0.860576923
158,-0.049328835,1.094366293,0.996129882,-0.833513907,0.055059521,2016,2.27E-05,-0.437159726,0.120653597,-0.702746365,0.211631664
158,-0.034614117,1.038078648,1.284942615,0.249925006,0.07191838,2017,1.12E-05,-0.223190951,-0.437159726,-0.961139896,-0.582901554
158,0.043911675,1.084605732,1.276143102,-0.102662551,-0.134051384,2018,1.09E-05,0.89826548,-0.223190951,0.794117647,-0.517156863
158,-0.022846063,1.191893927,1.158656262,-0.659067971,0.666505934,2019,1.90E-05,0.083579196,0.89826548,-0.413461538,0.112980769
159,0.003389126,0.517317357,1.444371528,-1.105114388,-1.072169922,2017,1.22E-05,1.046892888,-0.467193619,0.339378238,-0.422279793
159,0.01637884,1.18308715,1.426793425,0.050283261,0.62455394,2018,1.15E-05,-0.383109778,1.046892888,0.389705882,-0.416666667
159,0.059663221,1.140929485,2.486061126,1.056116478,-0.218246498,2019,1.07E-05,0.242992541,-0.383109778,0.802884615,-0.408653846
301,-0.073660642,0.837417254,1.608654038,1.161102334,0.166486051,2018,1.06E-05,0.018157155,-0.133408661,-0.950980392,-0.588235294
301,0.040315672,0.797938822,0.59356608,0.106231413,-0.147215201,2019,2.27E-05,2.730486664,0.018157155,0.649038462,0.338942308
333,0.037148742,1.392260932,-1.007998818,0.128731582,-0.179368015,2018,9.26E-06,0.166788676,0.004049963,0.732843137,-0.789215686
338,0.001038612,1.198548759,0.102984818,-0.132919307,0.573981451,2016,9.65E-06,0.35691073,0.703547209,-0.050080775,-0.828756058
338,-0.006221198,1.227888207,0.250646537,0.347866547,0.010856204,2017,1.87E-05,0.457625761,0.35691073,-0.67357513,-0.069948187
338,-0.009702333,1.488216484,-0.110251473,0.39533513,0.009902441,2018,2.23E-05,0.139016629,0.457625761,-0.316176471,0.161764706
338,0.009920071,1.24617242,0.412450052,1.228894248,-0.252355596,2019,1.49E-05,0.305767557,0.139016629,0.211538462,-0.081730769
400,0.03669429,1.287826642,0.19922442,0.152097792,-0.238120665,2016,2.63E-05,-0.568676677,0.146059273,0.49273021,0.360258481
400,0.001087379,1.144283554,0.554193742,-0.274537809,-0.083895491,2017,4.18E-05,0.148901977,-0.568676677,0.049222798,0.619170984
400,-0.005555383,0.977874731,1.066894164,0.17687652,-0.167195016,2018,1.40E-05,0.442173909,0.148901977,-0.208333333,-0.154411765
400,-0.06829824,0.966569409,0.886754089,0.259073044,-0.377934457,2019,1.20E-05,-0.048095781,0.442173909,-0.870192308,-0.233173077
401,-0.000498062,1.373868979,-0.323706215,-0.903098415,-0.686332297,2017,2.70E-05,1.00537635,-0.43192804,-0.163212435,0.272020725
401,-0.063495955,1.52359522,0.285517532,-0.508741519,0.504126832,2018,1.50E-05,-0.077951312,1.00537635,-0.928921569,-0.105392157
401,-0.057961521,1.160997384,0.45226218,0.96049627,-0.212404425,2019,7.13E-06,-0.213769501,-0.077951312,-0.834134615,-0.954326923
403,0.029181008,0.851615913,0.639246494,0.62709612,0.251097122,2019,1.19E-05,-0.257120631,1.737904854,0.512019231,-0.240384615
404,0.00993412,1.190422599,1.302835323,0.39014607,0.182422157,2016,2.64E-05,-0.455425347,-0.104196813,0.095315024,0.373182553
413,0.000928753,1.169090772,0.655351841,-0.34466581,0.532691064,2018,7.51E-06,-0.481808607,-0.154710933,-0.019607843,-0.948529412
413,0.031216181,1.082176995,1.136766117,0.139582508,-0.424630097,2019,6.67E-06,-0.23316809,-0.481808607,0.540865385,-0.96875
415,0.00243675,1.20984121,-0.407278806,-0.813178493,0.265771404,2017,3.94E-05,-0.329963984,-0.133825543,0.222797927,0.577720207
423,-0.010137993,1.008076177,0.212646199,1.072966418,-0.323083281,2017,1.20E-05,-0.257692399,-0.252810693,-0.803108808,-0.461139896
423,0.007852671,0.764150656,-0.371202746,-0.158035151,-0.139138151,2018,8.85E-06,-0.085383871,-0.257692399,0.174019608,-0.840686275
425,0.020734499,0.721736806,0.735363805,0.149459238,-0.276348487,2016,4.28E-05,0.125090687,0.212643396,0.273021002,0.683360258
425,0.00983218,1.189105351,0.657012979,0.611814129,-0.065581367,2017,3.10E-05,0.050107334,0.125090687,0.740932642,0.378238342
425,0.004729652,1.214113479,0.430366444,0.613952894,-0.103895009,2018,5.69E-05,0.305635281,0.050107334,0.071078431,0.81372549
425,-0.002439183,1.242783652,0.440683733,0.45439902,0.135857048,2019,2.48E-05,0.071627698,0.305635281,-0.004807692,0.415865385
