asset,date,rank_beta,rank_br,xret_cumulative,ch4mkt_beta_avg,ch4smb_beta_avg,ch4vmg_beta_avg,ch4pmo_beta_avg,roe_avg,roa_avg,log_me_avg,bm_avg,ep_value,sue_value,cdi_value,ndp_value,ORR,TOR_growth,TOC_growth,OC_growth,Total_AGR,tl_growth,COD_IE,COD_FE,LEV,LNTAS,Liquidity,FAP,LNTL
300048,2016,0.870759289,-0.066235864,-0.424366915,1.010496206,1.32722395,-0.395526097,-0.032709298,0.004527389,0.002518342,15.14935483,0.713751581,0.001529052,-1.904041082,,0.500012441,0.072613541,0.072613541,0.066620946,0.030262137,-0.044734013,-0.110960648,,0.021560348,1.727481684,22.25325725,1.668739859,0.278214551,21.38842612
300048,2017,-0.800518135,0.663212435,-0.082582681,1.120505182,1.674667253,0.184640725,-0.578327205,0.002607387,0.001517538,14.80137689,0.975470966,0.006501151,-2.625689792,,0.509951675,-0.217059926,-0.217059926,-0.224135835,-0.25975192,-0.120292746,-0.128845247,,0.042105853,1.71534976,22.12509116,1.688551859,0.294898292,21.25049048
300048,2018,-0.125,0.759803922,0.314835954,1.21773524,0.816581694,-0.634956626,0.537686322,-0.004393371,-0.002568171,14.95669092,0.76688,-0.003601959,1.567227153,,0.253705792,-0.041334186,-0.041334186,0.02316672,0.070536913,-0.162537737,-0.226738832,,0.042225445,1.626170922,21.94771208,1.684517553,0.290574455,20.99335205
300048,2019,-0.836538462,0.855769231,0.231823878,0.655594017,1.670662254,-0.637258908,0.053277399,-0.053109866,-0.033047296,15.48716723,0.362176457,0.001134374,-3.500023941,,0.145146237,0.25746012,0.25746012,0.109565973,0.101991745,-0.249698297,-0.435032306,,0.030891669,1.40833997,21.6604322,2.294065681,0.265402315,20.42236533
300050,2017,-0.554404145,-0.937823834,0.040794934,1.087144611,0.871725526,-1.396358796,0.369030097,0.002839077,0.002268681,14.56305469,1.355610751,0.006117541,0.19624901,-1.522764025,0.20842686,0.175769605,0.175769605,0.202590299,0.360182961,0.027601332,0.06075234,,0.037625053,1.288200513,22.03271556,1.884480772,0.039621119,20.53537045
300053,2017,0.35492228,0.531088083,-0.151209699,1.150451383,0.005307862,-1.754481148,0.508240807,0.009416912,0.007806181,15.44298841,0.636879196,0.004036034,-1.820816277,-1.712390347,0.05010731,0.061312654,0.061312654,0.101355729,0.102773224,0.023933261,0.060449428,,0.008487806,1.220217627,22.09414544,3.264511711,0.092832202,20.38197721
300053,2018,0.754901961,-0.446078431,0.071876116,1.130698592,0.990995933,-0.973235265,-0.010576105,0.00658336,0.005285988,15.70323152,0.48148333,0.002785509,-2.509116857,-1.397520344,0.103180465,-0.144729031,-0.144729031,-0.0792955,-0.231606484,0.006641676,0.415776166,,0.012118534,1.340168274,22.10076516,2.154346962,0.143476299,20.72965511
300055,2017,-0.562176166,-0.652849741,-0.385430978,1.278301343,1.019366163,-0.452174809,0.573168455,0.011359704,0.008753134,15.77572397,0.849934507,0.005286104,-2.082446454,-5.643910246,0.151511381,-0.362794309,-0.362794309,-0.30431564,-0.352259667,-0.025586682,0.005018379,,-0.036763928,1.301625775,22.750788,2.560021686,0.095121338,21.28860574
300056,2016,0.702746365,0.046849758,-0.602509342,0.561985047,0.255396396,-1.343237237,1.358229017,-0.012248182,-0.006290922,14.45488081,0.814735401,-0.032215811,2.387232959,,0.674443735,0.452057472,0.452057472,0.26750502,0.518071425,-0.149761747,-0.199543874,,0.08097204,1.948507745,21.70412123,1.167389228,0.141780857,20.98419209
300056,2017,0.924870466,-0.062176166,0.11396838,0.630636725,0.479019491,-1.183747293,0.384943139,-0.006558039,-0.0032854,14.11561422,0.95310423,-0.015610972,-2.974346258,-1.413233745,0.922817298,0.219335725,0.219335725,0.227389257,0.304237463,0.036616625,0.407744862,,0.03444525,2.950423021,21.74008339,1.055003068,0.145364462,21.32618112
300056,2018,-0.769607843,-0.855392157,-0.261897212,1.022366188,0.428865957,0.138724754,0.281033891,0.029991654,0.009745109,14.45435014,0.527675471,0.000638904,1.586853037,,0.336638398,0.7799777,0.7799777,0.578752973,0.8595161,-0.352410992,-0.615027171,,0.025165712,1.647403692,21.30558436,1.529296674,0.215446934,20.3715986
300058,2018,-0.607843137,-0.821078431,0.812403618,1.205462026,0.688536885,-0.727824586,-0.003232547,0.023446148,0.010894926,16.42893574,0.646579463,0.011599493,0.838822647,,0.417553295,0.479119226,0.479119226,0.489280788,0.535920096,0.115655722,0.166525778,,0.035815359,2.15773219,23.70409122,1.157294955,0.007080866,23.08149655
300058,2019,0.973557692,0.03125,-0.229160196,1.243366344,1.251095932,-0.275986337,0.245789625,0.03026256,0.014056996,16.55968552,0.594571103,0.025192776,0.229573944,-1.417220645,0.597297093,0.272699831,0.272699831,0.2687725,0.278903233,0.130227193,0.217509949,,0.038567313,2.369589754,23.82650989,1.162261065,0.005221668,23.27830429
300065,2016,-0.40549273,0.195476575,-0.457984633,0.539009616,1.405342882,-1.113361012,0.468975114,0.020758239,0.016455826,15.38382892,0.365346153,0.010351799,1.343535246,,-0.092724956,-0.001011738,-0.001011738,-0.022713549,0.111517479,-0.081682011,0.716225393,,-0.046941103,1.32417764,21.53473861,3.368387951,0.030037384,20.12748335
300065,2018,-0.095588235,0.428921569,-0.19386386,1.078365478,0.639892438,-1.281747493,0.438019625,0.010099764,0.008045995,15.10953208,0.463977141,-0.005049484,-1.173858993,-1.013916239,0.07038126,-0.129397716,-0.129397716,0.074014704,-0.007592439,-0.054651457,0.390624267,,0.023583553,1.394468534,21.44202434,2.632767765,0.041045501,20.17929507
300066,2016,0.55088853,-0.486268174,-0.34285292,1.001475317,1.030345138,-0.711794796,0.288665301,0.012785917,0.011565536,15.29413509,0.369904233,0.004955892,-0.253552214,,-0.09457747,0.165201085,0.165201085,0.189137398,0.216011483,0.046234289,0.203134796,,,1.1114831,21.31929563,7.316629944,0.141956997,19.01971812
300066,2018,-0.889705882,-0.544117647,-0.090140914,1.130006259,0.961832886,-0.526090518,0.244271869,0.025629455,0.022616374,15.36116684,0.384744726,0.004421307,3.464428204,-1.132153429,0.018741158,-0.0138536,-0.0138536,-0.030683318,-0.022951189,0.101664919,0.126862047,,,1.1304426,21.49049642,6.396282115,0.123228515,19.33106518
300067,2017,0.652849741,-0.569948187,0.043322564,1.011589465,1.526305608,0.471360138,-0.12508717,0.021438006,0.018503878,14.78657732,0.63625005,0.015662585,0.021012661,-1.948095626,0.021491492,-0.059182957,-0.059182957,-0.12207228,-0.152653805,0.067086063,0.405106662,,0.015750972,1.221139954,21.42897639,3.229518005,0.210591046,19.72023207
300069,2016,-0.450726979,0.738287561,-0.64069695,0.404060092,0.271211731,0.109759351,-0.014711516,0.016651639,0.00968577,14.79555501,0.218370651,0.00653035,-0.384869216,,0.162757654,-0.389176974,-0.389176974,-0.290991046,-0.417389654,-0.134122538,-0.326674692,,0.024023693,1.487677206,20.48378957,1.694383531,0.253808383,19.36847204
300069,2017,0.564766839,0.230569948,0.302114712,1.010243033,1.917339988,-0.144247307,-0.213796688,-0.005753486,-0.003833082,13.89215769,0.469034807,-0.000369793,-2.67314823,,0.110546963,-0.073660788,-0.073660788,-0.081771672,0.067389007,-0.287282829,-0.223790056,,0.028933076,1.555244773,20.14511896,1.442622972,0.263308821,19.11513979
300069,2018,0.468137255,0.333333333,0.07360684,1.094043544,0.74819209,-0.165722169,0.594167475,0.003855694,0.002416523,14.05605851,0.291424155,-0.002502611,1.930172623,,0.065952237,-0.035601853,-0.035601853,-0.044555231,0.03720867,-0.024345594,-0.140170332,,0.027019894,1.459069012,20.12047211,1.533094646,0.261581906,18.96411882
300069,2019,-0.959134615,-0.233173077,0.074646064,1.025958954,1.236185602,-0.222678501,0.573219413,-0.005735402,-0.00385339,14.31187873,0.221946282,0.002332328,-3.43126563,,0.051462023,0.105199769,0.105199769,0.080395418,-0.069386115,-0.026471066,0.235068014,,0.017804528,1.664329316,20.09364438,1.378626905,0.251868456,19.17524486
300070,2019,0.362980769,0.766826923,-0.106920557,0.910751709,0.914269058,0.340264387,0.48588882,0.00104426,0.000349439,16.77553703,1.205897514,0.000473038,0.068251229,-4.646696828,2.254281504,0.488289688,0.488289688,0.469018596,0.637675095,0.026906866,0.015463807,,0.014925746,2.954703047,24.99095913,0.992539215,0.0094475,24.57779926
300072,2017,-0.603626943,-0.914507772,-0.562586023,1.191118361,0.768848924,0.068991792,-0.121477447,0.015825381,0.006881132,16.90835574,0.534354612,0.001193987,-3.495626751,,0.624229771,-0.626651772,-0.626651772,-0.538391241,-0.563049494,-0.080046067,-0.122514635,,0.055853965,2.133345196,23.92260548,1.80640694,0.095073307,23.29008783
300074,2017,-0.310880829,0.090673575,0.074597867,0.890665523,0.837696464,-0.549994528,-0.405258279,0.001448871,0.001136367,14.43445412,0.654611776,-0.006192118,-0.078569349,,0.101521818,0.218678935,0.218678935,-0.059085212,0.197534205,-0.004422696,-0.120131264,,,1.231426539,21.13443024,3.221666514,0.188773301,19.46276418
