asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
2593,0.003855577,2017,3.12e-05,0.14193648,-0.361322131,0.388601036,0.388601036,-0.411293638,0.969604773,1.049128924,-0.174169224,0.163749713,2554071.8749999977
2598,0.006744202,2017,1.39e-05,-0.042706362,-0.361125572,0.60880829,-0.248704663,-0.319495499,1.159449089,0.68701616,-0.149638113,0.227174036,3081374.055833336
2613,-0.001687035,2017,1.11e-05,-0.077605009,-0.383476539,-0.313471503,-0.603626943,-0.383406538,1.005691794,1.407922903,0.147712579,0.257212079,2472626.9275000016
2615,0.006376633,2017,2.69e-05,-0.091287722,-0.447036874,0.588082902,0.266839378,-0.217492706,0.841175179,0.715749807,-0.100588861,0.405510192,2394921.191666668
2639,0.004054187,2017,1.37e-05,0.254442584,-0.301294694,0.424870466,-0.259067358,-0.351415815,0.626715827,0.320654855,-0.638465091,0.278449962,3907964.914166667
2644,-0.000609291,2017,5.86e-05,-0.337677133,0.094615009,-0.186528497,0.779792746,-0.170930293,1.086235473,0.43063325,-0.059594608,-0.081205542,5109974.379999998
2645,-0.004619737,2017,2.9e-05,9.95e-06,0.081512629,-0.577720207,0.329015544,-0.365618664,1.292847411,0.528695838,-1.099103715,-0.087556987,3051830.2408333304
2649,-0.007251607,2017,9.86e-06,-0.02820863,-0.17896377,-0.712435233,-0.772020725,-0.052411523,1.352979702,0.923719165,-0.926949961,-0.413290783,4778349.086666665
2667,-0.000980495,2017,1.19e-05,0.294855151,-0.447521058,-0.227979275,-0.492227979,-0.412802422,0.922926074,1.869844519,0.545055325,-0.070932856,1832923.774166667
2682,-0.016709281,2017,1.16e-05,-0.040974819,-0.389676264,-0.888601036,-0.528497409,-0.204477655,1.174773527,1.097353452,-0.142522223,0.474453076,2633213.3049999983
2685,-0.111825845,2017,2.03e-05,-0.29635276,-0.1120307,-0.987046632,-0.018134715,0.016486948,1.286835799,0.796804478,0.012218106,0.442072061,5921299.64375
2692,0.004648199,2017,1.25e-05,-0.071853947,-0.619268902,0.471502591,-0.386010363,-0.188217196,0.747226573,0.263743802,-0.822398247,1.017705641,4954284.839166668
2707,-0.011622674,2017,3.34e-05,-0.377653975,-0.277923463,-0.847150259,0.450777202,-0.309016648,1.240109874,0.720311442,-0.409584285,0.222620702,5495689.33
2715,0.005020644,2017,2.12e-05,0.117336222,-0.506754107,0.505181347,0.033678756,-0.198100106,1.094266601,1.066308384,0.335630848,-0.002577519,1714205.482499998
2722,0.006966474,2017,2.45e-05,-0.139150457,-0.503303546,0.619170984,0.18134715,-0.436267261,1.00621853,0.940666086,-0.468756094,-0.324309933,2593859.245833335
2724,0.00235862,2017,1.15e-05,0.046779884,-0.549678428,0.212435233,-0.544041451,-0.455492692,1.051424409,1.7377425,0.468213748,0.427070252,1609984.1433333335
2730,0.009695427,2017,2.62e-05,0.013159602,-0.535027495,0.738341969,0.248704663,-0.375275208,0.721678982,0.764532159,-0.395409053,0.291224457,1717287.5808333326
2737,-0.001151309,2017,2.22e-05,-0.258007324,0.418311,-0.24611399,0.075129534,-0.089846845,0.623657727,0.341487217,-0.444215183,-0.397157652,3907420.903333334
2738,0.001432002,2017,6.56e-05,-0.200621169,0.068612231,0.088082902,0.831606218,0.079565912,1.644511951,1.872338283,1.078595037,-0.298600566,2511032.2355555575
2743,-0.033111597,2017,4.59e-05,-0.139415766,-0.438282798,-0.958549223,0.652849741,-0.333908025,1.285509748,0.572467283,-0.868882325,1.076206707,2010851.8033333335
2755,-0.020154463,2017,2.32e-05,0.208374363,-0.504001818,-0.914507772,0.124352332,-0.323590099,1.063245489,1.254271568,-0.280185898,0.126481695,1177687.816666666
2762,0.01267369,2017,2.3e-05,-0.189991518,-0.476242575,0.813471503,0.111398964,-0.581864652,1.222145931,1.637178731,-0.032428742,0.262187554,1590353.8608333329
2767,0.007342585,2017,1.55e-05,0.093961376,-0.426657795,0.64507772,-0.17357513,-0.563924152,1.360666947,1.187692867,-0.624968136,0.64979267,1059249.9999999998
2769,-0.000603854,2017,4.75e-05,-0.23386333,-0.185885859,-0.183937824,0.670984456,-0.313684649,1.147678292,1.640446379,0.253172987,-0.131924388,3252005.4208333343
2785,-0.015817725,2017,6.78e-05,0.015278622,-0.55839486,-0.883419689,0.844559585,-0.581843216,1.103349685,1.562672094,0.389149351,0.679664211,1931169.8291666666
2789,0.001942651,2017,2.61e-05,-0.137121593,-0.334013493,0.160621762,0.240932642,-0.497058706,1.113282709,1.636081268,-0.034120507,0.175906167,1739334.1275000006
2791,-0.00035249,2017,7.13e-05,0.288305512,-0.47971475,-0.137305699,0.873056995,-0.461794155,1.003912041,1.553772833,0.13290879,0.386652285,1812665.0583333324
2799,0.007600463,2017,2.4e-05,-0.258568936,-0.090102382,0.647668394,0.160621762,-0.346219051,0.730428114,-0.153813323,-1.530521399,-0.544127697,1417971.3541666667
2801,0.010720779,2017,0.000250535,0.008660759,-0.351066708,0.772020725,0.994818653,-0.473824308,1.405703775,1.43245302,-0.050150911,0.225312831,1289091.7333333353
2802,-0.022775087,2017,1.2e-05,-0.182502269,-0.215349724,-0.930051813,-0.461139896,-0.506982275,1.401498342,2.24906609,1.074086379,0.376225362,1316016.5125
