asset,date,br,start_date,end_date,compounded_xret,ch4mkt_beta,ch4pmo_beta,ch4smb_beta,ch4vmg_beta
25,2016,0.0,2017/7/1,2018/6/30,-0.387871924,0.859012197,0.839114232,0.947620193,0.267267709
25,2017,0.0,2018/7/1,2019/6/30,-0.102404902,0.654926043,-0.315666379,0.701857371,-0.481207534
25,2018,0.0,2019/7/1,2020/6/30,-0.105057081,0.82281594,0.354504958,0.845208746,-0.372274818
25,2019,0.0,2020/7/1,2021/6/30,-0.199801866,0.946427157,-0.064276934,0.81288631,0.050677721
26,2014,0.0,2015/7/1,2016/6/30,-0.357935392,1.156601532,0.056501766,1.20241564,-0.2218051
26,2015,0.0,2016/7/1,2017/6/30,0.080927417,1.092650573,0.073989443,1.279262607,-0.795096833
26,2016,0.0,2017/7/1,2018/6/30,-0.301868679,1.070286628,-0.048660928,0.863964353,-0.031600722
26,2017,0.0,2018/7/1,2019/6/30,-0.111853088,0.998737339,0.134347799,0.892345221,0.113911095
26,2018,0.0,2019/7/1,2020/6/30,0.165173768,1.08816856,-0.467200542,1.301931526,0.589769303
26,2019,0.0,2020/7/1,2021/6/30,0.614589622,1.380059208,0.289024025,0.609176743,0.039115992
27,2014,0.0,2015/7/1,2016/6/30,-0.476254094,1.273011205,0.211569909,-0.107527139,-0.77706044
27,2015,0.0,2016/7/1,2017/6/30,0.062429763,1.059169541,0.17122573,-0.064658579,-0.452358144
27,2016,0.0,2017/7/1,2018/6/30,-0.265488796,0.819874251,0.332537597,0.313089823,-0.13352215
27,2017,0.0,2018/7/1,2019/6/30,0.247101248,0.816836923,-0.020781018,0.590549107,0.285010998
27,2018,0.0,2019/7/1,2020/6/30,-0.107330185,0.942935756,0.377513445,0.254521765,0.259052741
27,2019,0.0,2020/7/1,2021/6/30,0.999758175,0.90030179,-0.528160366,0.702330103,0.56940407
28,2014,0.0,2015/7/1,2016/6/30,-0.132043638,0.946325577,0.285649,1.113729078,1.081628119
28,2015,0.0,2016/7/1,2017/6/30,0.229665884,0.814451172,0.295342437,0.678542777,1.279252514
28,2016,0.0,2017/7/1,2018/6/30,-0.389258645,0.942792459,0.18834855,0.352261313,0.353859725
28,2017,0.0,2018/7/1,2019/6/30,-0.166239028,0.811939528,0.193700741,0.182386771,-0.054199313
28,2018,0.0,2019/7/1,2020/6/30,0.07365264,0.615788439,-0.450302558,0.548627226,0.215171445
28,2019,0.0,2020/7/1,2021/6/30,-0.154661676,0.851480857,-0.139378725,0.152187507,-0.104919742
29,2014,0.0,2015/7/1,2016/6/30,-0.233512395,1.171571154,-0.020773557,-0.014303044,-0.914127361
29,2015,0.0,2016/7/1,2017/6/30,0.070057662,1.218043092,0.523073551,-1.333856889,-1.952259854
30,2014,0.0,2015/7/1,2016/6/30,-0.377829185,1.18020894,-0.176519982,1.101426554,0.83251855
30,2015,0.0,2016/7/1,2017/6/30,0.256377229,1.173011379,0.110876563,1.311002885,0.464910161
30,2016,0.0,2017/7/1,2018/6/30,-0.182579995,1.040364008,0.143547174,0.980542031,0.648634092
30,2017,0.0,2018/7/1,2019/6/30,-0.079978364,0.973895115,0.14323968,0.768167967,0.351959406
30,2018,0.0,2019/7/1,2020/6/30,0.388593711,0.900160182,-0.046503214,0.687465227,0.634469537
30,2019,0.0,2020/7/1,2021/6/30,0.028220645,1.024921516,-0.067891504,0.715613575,-0.306601785
31,2014,0.0,2015/7/1,2016/6/30,-0.509391328,1.281887136,-0.270150473,-0.102633598,-0.225950189
31,2015,7.79e-06,2016/7/1,2017/6/30,-0.206091018,1.179056153,0.273385606,0.150850124,-0.363135895
31,2016,0.0,2017/7/1,2018/6/30,-0.236499368,1.288034978,0.29936243,0.885235116,0.751918639
31,2017,2.67e-05,2018/7/1,2019/6/30,0.12209808,1.275489221,0.149445317,0.860849317,0.793652679
31,2018,5.92e-06,2019/7/1,2020/6/30,-0.219331797,1.189531405,0.473414561,0.184503788,0.315012633
31,2019,0.0,2020/7/1,2021/6/30,-0.282613751,0.946263886,0.484938532,0.415791812,0.773189627
32,2014,0.0,2015/7/1,2016/6/30,-0.128983,0.973745676,-0.118293525,1.161287697,-0.912270792
32,2015,0.0,2016/7/1,2017/6/30,0.017255992,0.905937545,-0.053986829,1.159667312,-0.488002905
32,2016,4.68e-05,2017/7/1,2018/6/30,-0.526468029,0.8953542,0.036202918,0.870774703,-0.017202182
32,2017,3.23e-05,2018/7/1,2019/6/30,0.314456787,1.175681374,0.152644688,0.678552774,-0.585436649
32,2018,1.89e-05,2019/7/1,2020/6/30,1.168592659,1.105349341,0.531902169,1.202108465,-0.862614026
32,2019,1.97e-05,2020/7/1,2021/6/30,-0.138768803,0.827913091,-0.181292096,0.43060117,-0.626178286
34,2014,0.0,2015/7/1,2016/6/30,1.422154004,1.153792955,-0.085906573,-1.788990372,-2.505040762
34,2015,0.0,2016/7/1,2017/6/30,0.074470087,1.285593122,0.670008089,-0.130487406,-1.706463506
34,2016,0.0,2017/7/1,2018/6/30,-0.349771603,-0.839107268,-1.238045569,-1.80506051,-2.482856887
34,2017,0.0,2018/7/1,2019/6/30,-0.191445409,1.057819082,-0.062373831,0.738881337,-0.706837167
34,2018,0.0,2019/7/1,2020/6/30,0.875642711,1.071803004,-0.680124777,0.876752496,-0.973762218
34,2019,0.0,2020/7/1,2021/6/30,-0.106323328,1.223263808,0.704218746,0.847578514,-0.815869964
35,2014,0.0,2015/7/1,2016/6/30,-0.406049113,1.003035925,0.111424092,1.635334138,0.758823778
35,2015,1.29e-05,2016/7/1,2017/6/30,-0.019134043,0.9179637,0.121025872,0.90784997,-0.353340662
35,2016,0.0,2017/7/1,2018/6/30,-0.04799894,0.698802692,0.278486528,0.195524519,-0.383342687
35,2017,8.81e-06,2018/7/1,2019/6/30,-0.12082868,0.688906958,0.463889947,1.019685849,-0.634068386
35,2018,1.59e-05,2019/7/1,2020/6/30,-0.162974964,0.942348008,-0.119001729,0.330591136,0.150431726
35,2019,4.22e-05,2020/7/1,2021/6/30,-0.119732565,0.828325117,0.122948332,0.602512391,0.668359212
36,2014,0.0,2015/7/1,2016/6/30,0.016025243,1.171917669,0.428176321,1.016155145,-0.061717325
36,2015,0.0,2016/7/1,2017/6/30,0.091975865,0.90563657,0.309601116,0.759582967,0.406334875
36,2016,2.48e-05,2017/7/1,2018/6/30,-0.28155691,1.399084303,-0.203246626,2.060147727,2.064431209
36,2017,0.0,2018/7/1,2019/6/30,0.201354019,1.196965957,0.235843478,1.256550531,0.584039613
36,2018,0.0,2019/7/1,2020/6/30,-0.152061382,1.082397137,0.577083212,0.748099961,0.606363473
36,2019,0.0,2020/7/1,2021/6/30,0.131783655,0.797541677,0.53891406,0.447094335,0.351738566
37,2014,0.0,2015/7/1,2016/6/30,-0.248910123,1.151093361,0.231475536,1.15642837,-0.638258571
37,2015,0.0,2016/7/1,2017/6/30,-0.148906188,1.947065103,0.428675067,-0.813743823,-2.021131698
37,2016,0.0,2017/7/1,2018/6/30,-0.426809661,1.239989907,0.322787718,0.628481546,-0.226208263
37,2017,0.0,2018/7/1,2019/6/30,1.15202732,0.894449149,-0.463572553,1.336166732,0.109201368
37,2018,0.0,2019/7/1,2020/6/30,-0.059739335,1.030111885,-0.214847954,0.911124704,-0.137566125
37,2019,3.32e-05,2020/7/1,2021/6/30,-0.337294114,0.966683706,-0.712324132,0.993712415,0.182663447
39,2014,0.0,2015/7/1,2016/6/30,-0.563363754,1.297178804,0.439658861,0.117046237,-0.039722015
39,2015,4.54e-05,2016/7/1,2017/6/30,0.273429266,1.149114397,-0.00519587,0.338542505,-0.37354229
39,2016,2.01e-05,2017/7/1,2018/6/30,-0.272276566,1.65729824,0.178859799,0.904773434,0.487340966
39,2017,3.19e-05,2018/7/1,2019/6/30,0.013193088,1.274940104,0.115899155,0.632735519,0.416878669
39,2018,2.48e-05,2019/7/1,2020/6/30,-0.322696611,0.994264771,0.484340164,0.235868804,0.05656442
39,2019,0.0,2020/7/1,2021/6/30,1.478701205,1.07734311,-0.290547889,0.34798909,-0.085898673
40,2014,0.0,2015/7/1,2016/6/30,-0.214599663,0.858742757,1.292479722,1.597613541,-1.478461908
40,2015,0.0,2016/7/1,2017/6/30,0.104752029,0.676925093,0.607982532,0.842640398,-0.271973436
40,2016,0.0,2017/7/1,2018/6/30,-0.241323972,0.831901188,0.030299236,1.015033764,-0.218375757
40,2017,0.0,2018/7/1,2019/6/30,-0.35281174,0.728023864,-0.060183816,0.933672506,0.361221965
40,2018,0.0,2019/7/1,2020/6/30,-0.559088849,1.271458551,0.226871257,1.057537431,-0.334199371
40,2019,8.59e-06,2020/7/1,2021/6/30,-0.058998452,1.038234922,-0.022936734,1.456944876,0.007228784
42,2014,0.0,2015/7/1,2016/6/30,-0.301689256,1.183976394,0.225432626,0.827218184,0.218742176
42,2015,0.0,2016/7/1,2017/6/30,-0.032665599,0.795345739,0.237668996,0.333980734,-0.033328229
42,2016,0.0,2017/7/1,2018/6/30,-0.109500744,0.681539474,0.039032575,0.873553067,0.782565249
42,2017,0.0,2018/7/1,2019/6/30,-0.334223096,0.482854363,0.010918388,0.156458595,0.109075409
42,2018,0.0,2019/7/1,2020/6/30,-0.002102375,0.958823651,0.175079286,0.753674769,0.530933321
42,2019,0.0,2020/7/1,2021/6/30,-0.165855258,0.61976909,0.195024677,0.507902452,0.246626976
45,2014,0.0,2015/7/1,2016/6/30,-0.24964216,1.131582074,-0.15000084,0.942140811,-0.475123903
45,2015,0.0,2016/7/1,2017/6/30,-0.126458134,0.948822678,-1.67206339,2.375653944,-1.505385481
45,2016,0.0,2017/7/1,2018/6/30,-0.411802165,1.217774871,-0.029457564,0.873721817,-0.427581248
45,2017,0.0,2018/7/1,2019/6/30,-0.031521767,1.028229401,-0.038687973,1.100202624,-0.269299494
45,2018,0.0,2019/7/1,2020/6/30,0.113652869,0.896346982,0.137043705,1.231539957,-0.35975631
45,2019,0.0,2020/7/1,2021/6/30,0.112250723,0.911541866,-0.112503558,1.023886267,-0.434723822
48,2014,0.0,2015/7/1,2016/6/30,0.393720558,0.83161222,0.05754839,1.614013987,-0.230831029
48,2015,0.0,2016/7/1,2017/6/30,-0.268909595,0.733277829,0.250485068,0.046431722,0.093975574
48,2016,0.0,2017/7/1,2018/6/30,-0.18196457,0.513436457,0.397546053,0.064709502,0.073033289
48,2018,0.0,2019/7/1,2020/6/30,-0.012998756,0.929865214,-0.236808348,0.645258628,0.735109535
48,2019,0.0,2020/7/1,2021/6/30,0.045734099,0.81782066,0.232906327,0.567506094,0.320734196
49,2014,0.0,2015/7/1,2016/6/30,-0.131661145,1.080742047,-0.46195536,0.894264066,1.016654086
49,2015,0.0,2016/7/1,2017/6/30,0.222624384,0.996659963,-0.441903897,1.634511022,1.076696597
49,2016,0.0,2017/7/1,2018/6/30,-0.459781688,0.877727676,-0.043570887,0.243647179,-0.822257705
49,2017,0.0,2018/7/1,2019/6/30,-0.081858117,1.146023351,0.466540469,0.589812288,-0.466543066
49,2018,0.0,2019/7/1,2020/6/30,0.88196992,1.176070715,-0.924478039,0.108373221,-0.716779314
49,2019,0.0,2020/7/1,2021/6/30,0.357482818,1.049508352,0.036683025,-0.017955086,-0.821176965
50,2014,0.0,2015/7/1,2016/6/30,-0.120319205,1.069762541,-0.610201245,0.640900861,-0.361707474
50,2015,1.13e-05,2016/7/1,2017/6/30,-0.020039996,1.13140203,-0.385548978,1.76823039,1.2818812
50,2016,0.0,2017/7/1,2018/6/30,-0.314523514,1.709510651,0.172252974,1.746315827,0.828478292
50,2017,0.0,2018/7/1,2019/6/30,-0.064551357,1.177650007,0.00590254,0.1687578,-0.962812204
50,2018,8.29e-06,2019/7/1,2020/6/30,0.132559398,1.250622628,-0.123082317,0.561649608,-0.699587248
50,2019,0.0,2020/7/1,2021/6/30,-0.091058411,1.223967212,0.50685101,0.453286885,-0.200651893
55,2014,0.0,2015/7/1,2016/6/30,0.478779182,1.067335573,0.10671215,1.263623055,-0.103207605
55,2015,2.79e-05,2016/7/1,2017/6/30,-0.411505827,0.766720443,0.171487401,0.989869497,-0.014377471
55,2016,6.25e-05,2017/7/1,2018/6/30,-0.221132864,1.398984927,0.404831919,1.002007222,0.444233081
