asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
2372,0.002663127,2017,2.52e-05,0.201208866,0.242061592,0.233160622,0.204663212,0.537471726,1.041125347,-0.129849997,-0.070582445,0.252417019,14806447.044166667
2373,0.004445307,2017,8.8e-06,0.295325491,-0.048946225,0.466321244,-0.901554404,0.052432413,0.897983133,2.078834773,-0.239918216,-0.309845565,9520642.678999994
2375,-0.003873833,2017,0.000154338,0.098816252,-0.407287282,-0.497409326,0.981865285,-0.296935648,1.241428098,0.616789982,-0.296708301,0.340372307,10901960.58
2378,0.006351803,2017,2.47e-05,0.10623188,-0.279657398,0.585492228,0.194300518,0.02596124,1.343397004,1.485803308,0.270975965,-0.155531453,9500713.523333324
2383,0.000339615,2017,6.86e-05,-0.324245631,0.0435101,-0.051813472,0.85492228,0.200468955,0.694893027,-0.369566403,-2.109651252,0.129501996,6806421.168181819
2389,-0.021213147,2017,8.97e-06,-0.186101186,-0.365618636,-0.922279793,-0.880829016,-0.09747649,1.104067209,-0.122871936,-1.521424127,0.4968833,11611165.398333335
2405,-0.001243227,2017,3.66e-05,0.178064355,0.009484862,-0.264248705,0.515544041,0.346732532,1.388104851,-1.100272329,-3.386260342,-0.660254376,22303879.970833335
2410,-0.021922092,2017,1.19e-05,0.176871135,0.467349367,-0.92746114,-0.492227979,0.349337016,0.78938483,-0.237172944,-1.857460376,-0.620223695,15264866.981666675
2416,0.001864427,2017,1.83e-05,0.088984167,-0.330444102,0.150259067,-0.095854922,-0.357501844,1.008853722,0.496849192,-1.188905648,0.017623268,10654599.534166673
2421,-0.005337362,2017,1.15e-05,-0.092920247,-0.344134393,-0.634715026,-0.544041451,-0.089743177,0.808211143,0.637931504,-0.725497652,-0.078708453,8859530.212500006
2468,0.006753849,2017,4.47e-05,0.462511361,-0.32976149,0.611398964,0.64507772,-0.192133914,0.557834679,-0.150435927,-0.366384044,0.483169833,8798423.04
2471,0.005038633,2017,1.74e-05,-0.063046285,-0.377894686,0.507772021,-0.121761658,-0.340663217,0.74041259,0.907391092,-0.319586663,0.203523456,6464384.459166662
2497,-0.011054396,2017,1.86e-05,-0.347146402,0.072298478,-0.82642487,-0.080310881,0.926852545,1.771927444,1.511836134,-0.073763122,0.237488775,9642653.413333338
2498,-0.000588276,2017,3.46e-05,0.336543362,-0.397438205,-0.18134715,0.471502591,-0.23443693,0.755884411,0.86540174,0.145867107,-0.009439988,12050879.467500007
