Stkcd,Trdmnt,beta_bri
9,201902,12.094839756899368
9,201903,26.194545969341235
9,201904,5.553797788217228
9,201905,-7.154484202210806
9,201906,6.597378717410692
9,201907,5.7799152322871095
9,201908,-10.477336364305032
9,201909,-10.710857862118132
9,201910,-19.25610819936125
9,201911,-6.566198972020985
9,201912,-14.936112481295496
9,202001,-31.790303009639345
9,202002,-25.694415111964677
9,202003,-63.02439508568968
9,202004,-77.05566209443583
9,202005,-37.93884140161069
9,202006,-54.58673718533498
9,202007,-106.49209788123044
9,202008,-56.98807353475945
9,202009,-93.06418598924876
9,202010,-128.21819758939495
9,202011,-120.44557484985307
9,202012,-182.2222259086297
9,202101,-14.575395181347176
9,202102,-87.43248394551648
9,202103,-53.63762574987732
9,202104,56.9805458033494
9,202105,18.72420591962282
9,202106,-40.37743198813314
9,202107,21.292990719930685
9,202108,82.05801939842968
9,202109,168.63741899903494
9,202110,187.35514015014476
9,202111,187.01087664122247
10,201512,208.98261758347883
10,201601,251.9015655048451
10,201602,233.5678620424565
10,201603,169.54325000399177
10,201604,163.7073400297864
10,201605,-48.85921653616599
10,201606,-27.553653835915227
10,201607,-28.05883120473398
10,201608,-0.3584685697184966
10,201609,-14.587644740000428
10,201610,5.921926292754051
10,201611,7.018159980157503
10,201612,32.16645753831057
10,201701,-38.0090082146994
10,201702,-22.42992808875892
10,201703,-5.793045297228353
10,201704,8.68546063497515
10,201705,0.5120591101359562
10,201706,-0.8891303225972749
10,201707,-0.4259761855168644
10,201708,0.2816767233814499
10,201709,1.141864050879878
10,201710,0.683932400016106
10,201711,0.7321875308192656
10,201712,0.4769601364655393
10,201801,-0.2500644108554422
10,201802,-0.8377456221304467
10,201803,1.4246785761800602
10,201804,-0.9286366766352324
10,201805,-17.385608924109192
10,201806,-14.842423644129262
10,201807,-3.4123849912307094
10,201808,-4.891412426290877
10,201809,-13.356698963327691
10,201810,-8.585442477848517
10,201811,2.228574747876777
10,201812,6.300332782576092
10,201901,38.12970974288295
10,201902,54.90415919887037
10,201903,26.60066869588422
10,201904,81.66130801279068
10,201905,91.40865148438736
10,201906,81.58858302320041
10,201907,51.033709717591
10,201908,45.53861303376944
10,201909,74.25433259316347
10,201910,56.5615347325935
10,201911,87.12309621432823
