asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br
507,-0.004245768524907,0.9889187161767199,0.6032606771946001,0.29431855028681003,-0.18210338488272002,2019,6.96e-05,0.148525821,-0.15547455,-0.038461538461538436,0.9134615384615385
514,0.0312776656136515,1.26379779292689,0.952370004245,-0.1074441714408,0.14060178050473998,2016,2.4e-05,-0.408399738,-0.023993552,0.4248788368336025,0.2665589660743135
514,-0.0209398005249257,0.9857143353867901,1.6465147056959,0.67273521752729,-0.21110553720642,2019,2.22e-05,-0.11752715,-0.219621915,-0.375,0.3173076923076923
516,0.0271906134376634,1.14770043159731,0.6965636199191999,-0.59092086161008,-0.12738304268699,2016,1.45e-05,-0.145102081,-0.057617375,0.369951534733441,-0.17285945072697895
519,-0.0817629524483443,1.0919833976981401,0.59668991483787,-1.9997873938348998,0.84679084987643,2016,1.06e-05,-0.392954556,-0.023501798,-0.8869143780290791,-0.6898222940226171
520,0.0042273453443479,1.0325289279184902,0.42753914239463997,-1.08349025365296,0.12759703634531,2017,2.89e-05,0.104317294,-0.479804232,0.4430051813471503,0.3264248704663213
523,0.0054684571737366,1.2192436577882901,0.9518457167311201,0.34924028709628,0.17104092339369,2017,3.42e-05,-0.180495865,-0.23004304,0.544041450777202,0.46632124352331616
523,0.0214433490863039,1.03302367265472,1.36722705946865,0.22311494366844,0.48377930726948,2019,2.11e-05,-0.538565784,-0.00236774,0.40384615384615374,0.2764423076923077
524,0.0055726374311194,0.96541919296171,1.5885550335467302,-0.37574155189142,0.02097649617835,2017,2.99e-05,-0.044601977,-0.332390346,0.5569948186528497,0.34974093264248696
524,0.0297922707783672,1.07260930261512,0.54118319606665,-0.09237456120878,-0.06793994839752,2018,4.79e-05,-0.275371756,-0.044601977,0.6348039215686274,0.7303921568627452
524,0.0323069509891867,1.0571936659369,0.91344838293445,0.26879801930513997,-0.09731812521353,2019,1.63e-05,0.233862589,-0.275371756,0.5697115384615385,-0.024038461538461564
528,0.0286023888765032,1.25264046975388,0.9097782073156501,0.62999556983755,0.32767429905864,2016,0.000126078,0.239461948,0.330033373,0.37964458804523415,0.9838449111470113
528,0.0113394067638734,1.4860114067899899,0.6298040818188599,0.44548901250577,-0.04787249121962,2017,9.8e-05,-0.185923565,0.239461948,0.7823834196891191,0.9326424870466321
528,-0.0068046487181867,1.28124451245091,1.25968638327112,0.81151254297546,-0.18068583366465,2018,3.46e-05,-0.045058657,-0.185923565,-0.24754901960784315,0.5098039215686274
528,0.0088379660668898,1.31044068044472,0.08895186899423,0.16274419283313998,-0.15606363076515,2019,3.25e-05,0.325326927,-0.045058657,0.1923076923076923,0.5745192307692308
530,0.0141545208222198,0.98288134867599,1.6523941184464999,0.33236511233249,-0.20931529566388,2019,1.27e-05,0.153234461,-0.233588132,0.29567307692307687,-0.18990384615384615
533,0.0030290593690014,0.36310305191151,1.11340181461019,0.8047069231346101,-0.25199234531215,2017,1.12e-05,-0.233604402,-0.66569752,0.2953367875647668,-0.5829015544041452
533,0.0095518057592889,0.5039024975561,0.34633993568691,-0.27630749317125003,-0.10599040116751,2018,2.23e-05,-0.063288915,-0.233604402,0.22549019607843146,0.16176470588235303
533,-0.0993360842605872,1.02182898581834,2.14931899505586,0.23478702998228,-0.43997433369871,2019,3.39e-05,0.049932014,-0.063288915,-0.9567307692307693,0.5985576923076923
541,0.0027232570047261,0.8441128467069899,0.71013566314334,0.17982880868766,0.14961801798377,2019,1.09e-05,0.127667571,0.006453279,0.10096153846153855,-0.35096153846153844
546,0.1203492580747861,1.0054405552487,1.01195016882906,-0.68034419782566,0.30756097656433,2016,1.99e-05,0.2134332,0.068117913,0.9483037156704361,0.06623586429725359
546,-0.0103701599879255,0.98910108921073,1.00488000956968,-0.03488314706835,-0.50732082176916,2017,7.82e-06,-0.290110589,0.2134332,-0.8082901554404145,-0.9740932642487047
548,-0.0169883399258672,1.15176873050192,1.2540902863896202,-0.40075844890335,0.25963368354162997,2016,2.08e-05,-0.395909895,-0.07730007,-0.2956381260096931,0.10500807754442643
548,0.0034180032915418,1.1269109150066399,0.9757615601342701,-0.21575570360975,0.19205921849317,2017,2.28e-05,0.005173325,-0.395909895,0.3471502590673574,0.10362694300518127
548,0.0185400000930082,0.96559888862329,1.12256506560954,0.06778407010284,0.02105179519207,2018,1.23e-05,-0.176778903,0.005173325,0.42156862745098045,-0.27941176470588236
550,-0.0065458077537751,1.11003103475144,0.9829182100613599,1.6091358630874901,-0.04384412625573,2016,1.24e-05,-0.322048705,-0.128031567,-0.15347334410339253,-0.43457189014539577
551,-0.026059593999445,1.0992218151245599,1.30299466629753,0.15828801760223002,-0.21529827205704002,2016,6.58e-05,-0.375754322,-0.004169555,-0.4410339256865913,0.8513731825525039
551,-0.0053303763825382,1.11276838077061,1.6368807887816499,0.26471687951223,-0.29729203131825,2017,3.82e-05,0.145159803,-0.375754322,-0.6321243523316062,0.5569948186528497
551,0.0286951691201576,1.19803887789517,1.26561776804806,-0.02646489369277,0.21694791692633003,2018,8.1e-05,0.437802743,0.145159803,0.6151960784313726,0.9313725490196079
