asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,rank_beta,rank_br,choice,industry
9,-0.002890921,0.010200779,0.008365792,-0.003977467,0.00077562,2017,0.0,0.152512612,-0.246885615,-1.0,0,S90
9,-0.007004772,0.012352627,0.013916299,0.001934816,0.002014792,2018,0.0,0.769162742,-0.246885615,-1.0,0,S90
9,0.006597379,0.012005754,0.01455421,-0.000496093,-0.002043386,2019,0.0,1.120849263,-0.246885615,-1.0,0,S90
10,-0.027553654,0.00935089,0.011927317,-0.005691475,-6.82e-05,2016,0.0,-0.237592029,-0.304457413,-1.0,0,E48
10,-0.00088913,0.009434148,0.01521305,0.001612925,-0.001586269,2017,0.0,-0.117699088,-0.304457413,-1.0,0,E48
11,0.120157687,0.00988525,0.002631722,-0.010181035,-0.001243551,2016,0.0,-0.440373657,0.875852827,-0.57749368675,0,K70
11,0.023701463,0.009030437,0.004722294,-0.00487283,-0.003825126,2017,0.0,-0.125653907,0.875852827,-0.57749368675,0,K70
11,0.045468403,0.013733625,0.011286037,0.005604623,0.001270115,2018,0.0,0.718574377,0.875852827,-0.57749368675,0,K70
11,0.070894886,0.011323604,0.010783825,0.003360209,0.001878231,2019,1.3e-05,-0.225864392,0.875852827,-0.57749368675,0,K70
12,0.018372956,0.012119195,0.005033054,0.003569612,-0.002295656,2016,3.83e-05,-0.296138339,-0.16989695224999998,0.74292407625,1,C30
12,0.003384335,0.014684409,0.007217993,6.93e-05,0.001048422,2017,1.35e-05,-0.079703538,-0.16989695224999998,0.74292407625,1,C30
12,-0.030519485,0.013895454,0.007195967,0.004181825,0.002266702,2018,2.57e-05,0.188846423,-0.16989695224999998,0.74292407625,1,C30
12,-0.039340847,0.010662175,0.009026283,0.000259017,0.000334452,2019,1.19e-05,1.059974196,-0.16989695224999998,0.74292407625,1,C30
14,0.079533174,0.011641404,0.006571823,-0.011257783,0.004893145,2016,0.0,-0.102842367,0.3525333705,-1.0,0,K70
14,0.007302354,0.007540909,0.010016624,0.002733435,-0.000926089,2017,0.0,-0.377356978,0.3525333705,-1.0,0,K70
14,0.041811124,0.013433596,0.014086093,0.008546898,0.000734947,2018,0.0,0.108146799,0.3525333705,-1.0,0,K70
14,-0.053615833,0.011887354,0.009759288,-0.000771993,0.004450179,2019,0.0,-0.294334004,0.3525333705,-1.0,0,K70
16,0.031251144,0.012121511,0.008859977,0.004343897,-0.000582039,2016,0.0,0.089754282,0.1644568295,-0.5675675675,0,C39
16,0.002562219,0.010240166,0.006948533,-0.00050257,0.001474411,2017,0.0,-0.212296127,0.1644568295,-0.5675675675,0,C39
16,-0.010997549,0.015893781,0.000722729,-0.005277516,0.00117074,2018,1.93e-05,0.624161418,0.1644568295,-0.5675675675,0,C39
16,0.015390086,0.012027629,0.006770323,-0.004839438,0.002718599,2019,0.0,-0.008307243,0.1644568295,-0.5675675675,0,C39
17,0.050235722,0.012491232,0.006845608,-0.006360354,0.001059305,2016,0.0,-0.488765059,0.74644816375,-1.0,0,C37
17,0.011715233,0.008079677,0.018511513,-0.004602773,0.002163746,2017,0.0,-0.032410802,0.74644816375,-1.0,0,C37
17,0.033972977,0.008480941,0.009480227,0.002308687,0.003848851,2018,0.0,-0.215107929,0.74644816375,-1.0,0,C37
17,0.099390108,0.011104455,0.016420498,0.002918229,-0.005100372,2019,0.0,0.191267,0.74644816375,-1.0,0,C37
19,0.161032921,0.012131137,0.004263145,-0.002745345,-0.004514122,2016,0.0,-0.20984901,0.57074510425,-0.55871212125,0,C15
19,0.022965615,0.0055331,0.011084553,-0.006246782,0.00509109,2017,0.0,-0.262640602,0.57074510425,-0.55871212125,0,C15
19,-0.005561352,0.013665264,0.019995474,0.008660103,0.004501895,2018,0.0,0.135782751,0.57074510425,-0.55871212125,0,C15
19,0.031039691,0.010089495,0.012082263,0.000882091,0.001637406,2019,1.91e-05,-0.085059288,0.57074510425,-0.55871212125,0,F51
20,0.041493932,0.009824241,0.01460473,0.001829236,0.003245,2016,0.0,-0.273933991,0.046795858333333364,-1.0,0,C39
20,0.015435076,0.014875953,0.007033059,-0.006474389,0.019296499,2018,0.0,0.034642282,0.046795858333333364,-1.0,0,C39
20,-0.0511157,0.009705435,0.015427232,0.00343816,-0.002468087,2019,0.0,-0.158034625,0.046795858333333364,-1.0,0,C39
21,-0.021486313,0.011317033,0.010197394,-0.006926081,0.00239103,2016,2.51e-05,-0.2112828,-0.07612067775,-0.17742951274999996,0,C39
21,0.004425119,0.010602311,0.005050046,-0.002359863,0.004269704,2017,1.08e-05,0.188620373,-0.07612067775,-0.17742951274999996,0,C39
21,0.010139282,0.01200908,0.002005148,-0.015640667,-0.006019828,2018,0.0,1.654711576,-0.07612067775,-0.17742951274999996,0,C39
21,-0.040205266,0.010784341,0.005142662,-0.016729207,0.008037807,2019,0.0,-0.129280813,-0.07612067775,-0.17742951274999996,0,C39
25,0.011825153,0.005759255,0.003184158,-0.012667876,0.000660467,2016,0.0,-0.387871924,0.18351457375,-1.0,0,F51
25,0.003042624,0.004055928,0.008646273,-0.010759603,0.000273568,2017,0.0,-0.102404902,0.18351457375,-1.0,0,F51
25,0.059207599,0.009520468,0.006508439,-0.001841731,0.004818986,2018,0.0,-0.105057081,0.18351457375,-1.0,0,F51
25,-0.035141201,0.006235355,0.008111052,-0.007995851,-0.003694705,2019,0.0,-0.199801866,0.18351457375,-1.0,0,F51
26,0.029903044,0.012088543,0.012424455,-0.002215621,0.00100594,2016,0.0,-0.301868679,0.31409082650000003,-1.0,0,F52
26,0.008655019,0.010867324,0.00979648,-0.004466504,0.001194643,2017,0.0,-0.111853088,0.31409082650000003,-1.0,0,F52
26,0.00611041,0.009780881,0.011346189,0.002491192,-0.001898523,2018,0.0,0.165173768,0.31409082650000003,-1.0,0,F52
26,0.00033882,0.009603389,0.007723791,-0.000283862,0.002864014,2019,0.0,0.614589622,0.31409082650000003,-1.0,0,F52
27,-0.016971862,0.012240253,-0.00148081,-0.012953268,0.006462356,2016,0.0,-0.265488796,-0.11072240824999999,-1.0,0,D44
27,-0.001437301,0.010407379,-0.000612012,-0.005942119,0.002786802,2017,0.0,0.247101248,-0.11072240824999999,-1.0,0,D44
27,0.018403677,0.00817372,0.005866211,0.00171316,0.002159834,2018,0.0,-0.107330185,-0.11072240824999999,-1.0,0,D44
27,-0.018766646,0.007965906,0.005488377,0.002453618,-0.000565703,2019,0.0,0.999758175,-0.11072240824999999,-1.0,0,D44
28,-0.057150095,0.010164863,0.011015995,0.006584484,0.003528402,2016,0.0,-0.389258645,-0.27336962325,-1.0,0,F51
28,-0.008496249,0.007118861,0.00477154,0.010995269,0.002559146,2017,0.0,-0.166239028,-0.27336962325,-1.0,0,F51
28,0.002609282,0.009059079,0.004291041,0.001319617,0.002436069,2018,0.0,0.07365264,-0.27336962325,-1.0,0,F51
28,0.016461689,0.007731645,-0.000498532,-0.001262914,0.002549839,2019,0.0,-0.154661676,-0.27336962325,-1.0,0,F51
30,-0.014765347,0.012563182,0.007875471,0.012677446,-0.004410472,2016,0.0,-0.182579995,-0.18810262825000001,-1.0,0,C36
30,0.000442274,0.013298342,0.010054523,0.007425873,-0.00121916,2017,0.0,-0.079978364,-0.18810262825000001,-1.0,0,C36
30,0.008926918,0.008168763,0.010233895,0.005805601,0.000530994,2018,0.0,0.388593711,-0.18810262825000001,-1.0,0,C36
30,-0.046952024,0.00987517,0.010771565,0.006865351,-0.000704621,2019,0.0,0.028220645,-0.18810262825000001,-1.0,0,C36
31,-0.030892206,0.012836658,0.002469192,-0.001910285,-0.001408952,2016,0.0,-0.236499368,-0.39156040925,-0.1986467255,0,K70
31,-0.00288533,0.011899304,0.001083427,-0.002490005,0.005692798,2017,2.67e-05,0.12209808,-0.39156040925,-0.1986467255,0,K70
31,-0.018377526,0.012954904,0.015746667,0.013678663,0.004319518,2018,5.92e-06,-0.219331797,-0.39156040925,-0.1986467255,0,K70
31,-0.015275425,0.012576848,0.007769754,0.007144212,0.000496536,2019,0.0,-0.282613751,-0.39156040925,-0.1986467255,0,K70
32,0.000154624,0.010523193,0.009810496,-0.007219971,-0.001605102,2016,4.68e-05,-0.526468029,0.3556831303333334,0.8101164893333334,1,F51
32,0.083873037,0.011978615,0.006814184,-0.005417044,-2.05e-05,2018,1.89e-05,1.168592659,0.3556831303333334,0.8101164893333334,1,F51
32,0.008415748,0.010923237,0.007306762,-0.005126153,0.002716034,2019,1.97e-05,-0.138768803,0.3556831303333334,0.8101164893333334,1,F51
34,-0.075439963,0.009156722,-0.018004766,-0.025841272,-0.002516192,2016,0.0,-0.349771603,-0.45277904099999994,-1.0,0,F51
34,-0.145262234,0.006389664,0.026763692,0.00494879,-0.001687906,2018,0.0,0.875642711,-0.45277904099999994,-1.0,0,F51
34,0.025120455,0.010421536,0.000673025,-0.011116046,0.000455621,2019,0.0,-0.106323328,-0.45277904099999994,-1.0,0,F51
35,-0.118972214,0.009562315,0.011940498,0.007125928,-0.003111301,2016,0.0,-0.04799894,-0.36699688366666666,0.11161927600000003,0,N77
35,0.005006339,0.008592429,0.004661518,-0.006215606,0.000106338,2017,8.81e-06,-0.12082868,-0.36699688366666666,0.11161927600000003,0,N77
35,-0.044088777,0.008166756,0.008009109,-0.002641924,0.004052739,2019,4.22e-05,-0.119732565,-0.36699688366666666,0.11161927600000003,0,N77
36,0.044231746,0.011553828,0.010459815,-0.001578692,0.007174874,2016,2.48e-05,-0.28155691,0.187123096,-0.5487055725,0,K70
36,-0.00054298,0.008785854,0.009504035,0.007542015,-0.000503021,2017,0.0,0.201354019,0.187123096,-0.5487055725,0,K70
36,0.018205851,0.013460347,0.020523731,0.019842682,-0.001329588,2018,0.0,-0.152061382,0.187123096,-0.5487055725,0,K70
36,-0.005368575,0.011623075,0.011379907,0.005364019,0.002695825,2019,0.0,0.131783655,0.187123096,-0.5487055725,0,K70
37,0.001671803,0.019506246,-0.008182422,-0.020331461,0.00434853,2017,0.0,1.15202732,-0.3405345123333334,-0.37037037033333337,0,D44
37,-0.02002264,0.010673498,0.008970804,-0.002280486,0.000454875,2018,0.0,-0.059739335,-0.3405345123333334,-0.37037037033333337,0,D44
37,-0.04719841,0.008745143,0.012680095,-0.001735346,-0.003642437,2019,3.32e-05,-0.337294114,-0.3405345123333334,-0.37037037033333337,0,D44
39,0.05418576,0.013704927,0.003408989,-0.000633001,0.00679546,2016,2.01e-05,-0.272276566,0.21873095750000002,0.33699570624999997,1,C33
39,0.008939906,0.010712287,0.005115193,-0.001991606,0.001175747,2017,3.19e-05,0.013193088,0.21873095750000002,0.33699570624999997,1,C33
39,-0.015167844,0.017297182,0.009757227,0.006427291,0.001964323,2018,2.48e-05,-0.322696611,0.21873095750000002,0.33699570624999997,1,C33
